no,Date,Nature,Taille,Vocables
1,1958-06-13,D,830,333
2,1958-06-27,D,703,302
3,1958-08-01,D,845,358
4,1958-09-04,D,1731,603
5,1958-09-26,D,484,222
6,1958-10-23,CP,3432,874
7,1958-12-28,D,1482,562
8,1959-01-30,D,965,385
9,1959-03-25,CP,1814,603
10,1959-09-16,D,2332,722
11,1959-11-10,CP,6506,1236
12,1960-01-25,D,238,114
13,1960-01-29,D,1732,538
14,1960-05-31,D,2054,683
15,1960-06-14,D,2254,733
16,1960-09-05,CP,6988,1228
17,1960-11-04,D,2231,706
18,1960-12-20,D,1629,545
19,1960-12-31,D,1283,481
20,1961-01-06,D,658,289
21,1961-04-11,CP,6777,1232
22,1961-04-23,D,552,263
23,1961-05-08,D,1838,578
24,1961-05-12,D,2100,735
25,1961-09-05,CP,5446,1132
26,1961-10-02,D,1473,516
27,1961-12-29,D,1745,593
28,1962-02-02,D,2100,698
29,1962-03-18,D,677,300
30,1962-03-26,D,966,390
31,1962-04-06,D,556,258
32,1962-05-15,CP,6095,1111
33,1962-06-08,D,1142,438
34,1962-09-20,D,1782,561
35,1962-10-04,D,1079,399
36,1962-10-18,D,673,270
37,1962-10-26,D,570,242
38,1962-11-07,D,1036,401
39,1962-12-31,D,928,368
40,1963-01-14,CP,7087,1307
41,1963-04-19,D,1927,648
42,1963-05-29,CP,6868,1386
43,1963-12-31,D,1578,572
44,1964-01-31,CP,7941,1526
45,1964-04-16,D,1861,610
46,1964-09-23,CP,6030,1283
47,1964-12-31,D,1186,435
48,1965-02-04,CP,6755,1430
49,1965-04-27,D,1589,589
50,1965-09-09,CP,8242,1584
51,1965-11-04,D,760,330
52,1965-11-30,D,1262,472
53,1965-12-03,D,728,325
54,1965-12-11,D,1162,414
55,1965-12-14,E,3265,550
56,1965-12-15,E,3187,568
57,1965-12-16,E,2939,550
58,1965-12-17,D,872,351
59,1965-12-31,D,929,366
60,1966-02-21,CP,6355,1334
61,1966-10-28,CP,7634,1477
62,1966-12-31,D,1183,460
63,1967-02-09,D,1078,406
64,1967-03-04,D,604,264
65,1967-05-16,CP,6730,1391
66,1967-08-10,D,2005,703
67,1967-11-27,CP,8141,1593
68,1967-12-31,D,1048,402
69,1968-05-24,D,692,302
70,1968-05-30,D,468,221
71,1968-06-07,E,4707,1018
72,1968-06-29,D,679,311
73,1968-09-09,CP,6223,1310
74,1968-11-24,D,985,396
75,1968-12-31,D,1517,555
76,1969-02-02,D,1634,615
77,1969-03-11,D,1479,543
78,1969-04-10,E,4315,990
79,1969-04-25,D,571,268
